                 ubb UcurveBranchandBound
                  es ExhaustiveSearch
                 sfs SFS
                sffs SFFS
                 ucs UCurveSearch
                  rc RandomChain
                sbfs SBFS
                 sbs SBS
                 bfs BFS
                ucsr UCSR
                 ruc RandomUChain
                kruc KRandomUChain
               chcga CHCGA
                 rbm RBM
                pucs PUCS
                 pfs PosetForestSearch
         oscillation Oscillation
